skills;count;crec_YoY;crec_ultimos_6m;ratio_sharpe;clasificacion
airflow;10;-72.97297297297297;-28.57142857142857;0.1334977670768917;2. Valor de Portafolio Estable
alteryx;24;-47.82608695652174;-4.0000000000000036;0.18699752969525113;2. Valor de Portafolio Estable
aws;40;-75.90361445783132;-34.42622950819673;-0.1278889991793853;4. Activos en Liquidación
azure;52;-76.25570776255708;30.000000000000004;0.04888572196109293;3. Activos de Alto Beta / Volatilidad Extrema
bigquery;3;-94.0;-84.21052631578947;-0.2392784189952466;4. Activos en Liquidación
c;15;-76.19047619047619;-31.818181818181824;-0.0465652876616915;4. Activos en Liquidación
c++;21;-4.545454545454541;0.0;0.3021333674319805;1. Inversión de Crecimiento Sólido
cognos;22;-15.384615384615385;-4.347826086956519;0.2835031331331525;2. Valor de Portafolio Estable
dax;19;-48.64864864864865;-17.391304347826086;0.3298262827157479;2. Valor de Portafolio Estable
excel;305;-53.92749244712991;34.95575221238938;0.007193530149889084;3. Activos de Alto Beta / Volatilidad Extrema
gcp;12;-78.18181818181819;-53.84615384615385;0.033148725805263464;4. Activos en Liquidación
git;22;-50.0;15.789473684210531;0.23149478506473586;1. Inversión de Crecimiento Sólido
go;49;-65.24822695035462;88.46153846153845;0.215029218527774;1. Inversión de Crecimiento Sólido
hadoop;17;-63.829787234042556;0.0;0.18769766640112473;1. Inversión de Crecimiento Sólido
java;40;-35.483870967741936;81.81818181818181;0.12890494121072643;1. Inversión de Crecimiento Sólido
javascript;34;-40.35087719298246;25.92592592592593;0.18682435205226264;1. Inversión de Crecimiento Sólido
jira;23;-52.08333333333333;4.545454545454541;0.2066008587041093;1. Inversión de Crecimiento Sólido
linux;9;-75.0;12.5;-0.17279220345062982;3. Activos de Alto Beta / Volatilidad Extrema
looker;32;-67.67676767676767;-3.0303030303030276;-0.2208806021536091;4. Activos en Liquidación
matplotlib;2;-94.44444444444444;-71.42857142857143;0.10015245092287034;2. Valor de Portafolio Estable
microstrategy;4;-71.42857142857143;-19.999999999999996;0.29025317757966473;2. Valor de Portafolio Estable
mysql;14;-67.44186046511628;75.0;0.22198493864090602;1. Inversión de Crecimiento Sólido
nosql;9;-82.6923076923077;-18.181818181818176;-0.06026141862025324;4. Activos en Liquidación
numpy;13;-60.60606060606061;85.71428571428572;0.18080131320033324;1. Inversión de Crecimiento Sólido
outlook;19;-52.5;-32.14285714285714;0.1746002916546085;2. Valor de Portafolio Estable
pandas;18;-50.0;50.0;0.1759464115234041;1. Inversión de Crecimiento Sólido
pl/sql;8;-68.0;-50.0;0.17600719809091442;2. Valor de Portafolio Estable
power_bi;252;-63.688760806916434;19.43127962085307;-0.09125522082632193;3. Activos de Alto Beta / Volatilidad Extrema
powerpoint;60;-47.82608695652174;-4.761904761904767;0.02272913904151065;4. Activos en Liquidación
pyspark;7;-81.08108108108108;-30.000000000000004;0.03788750899748687;4. Activos en Liquidación
python;278;-65.37982565379825;14.403292181069949;-0.12245491716124426;3. Activos de Alto Beta / Volatilidad Extrema
qlik;8;-79.48717948717949;-11.111111111111116;0.14859023185983497;2. Valor de Portafolio Estable
r;148;-66.74157303370787;2.777777777777768;-0.14687738329931063;3. Activos de Alto Beta / Volatilidad Extrema
redshift;22;-54.16666666666667;29.41176470588236;0.13499240429151377;1. Inversión de Crecimiento Sólido
sap;45;-35.71428571428571;125.0;0.21008774685148304;1. Inversión de Crecimiento Sólido
sas;79;-48.366013071895416;9.722222222222232;-0.022796248685237323;3. Activos de Alto Beta / Volatilidad Extrema
scala;11;-87.91208791208791;-68.57142857142857;0.06462912742446295;4. Activos en Liquidación
sharepoint;13;-71.73913043478262;-31.57894736842105;-0.24593186320211358;4. Activos en Liquidación
snowflake;54;-57.8125;22.72727272727273;-0.013055323147623893;3. Activos de Alto Beta / Volatilidad Extrema
spark;30;-75.40983606557377;-36.170212765957444;-0.005436161080376304;4. Activos en Liquidación
spreadsheet;33;-54.794520547945204;153.84615384615384;0.090716937124291;1. Inversión de Crecimiento Sólido
spss;43;2.3809523809523725;72.0;0.23019661105723435;1. Inversión de Crecimiento Sólido
sql;492;-57.622739018087856;37.81512605042017;-0.01329454381087271;3. Activos de Alto Beta / Volatilidad Extrema
ssis;2;-93.5483870967742;-88.23529411764706;0.015385269826577971;4. Activos en Liquidación
ssrs;15;-53.125;15.384615384615374;0.06995808055072537;3. Activos de Alto Beta / Volatilidad Extrema
tableau;272;-58.97435897435898;49.45054945054945;-0.008918496854150344;3. Activos de Alto Beta / Volatilidad Extrema
tensorflow;16;-55.55555555555556;-46.666666666666664;0.06183327388299679;4. Activos en Liquidación
vba;19;-63.46153846153846;35.71428571428572;0.08433791377614014;1. Inversión de Crecimiento Sólido
visio;7;-66.66666666666667;-30.000000000000004;0.17279551043889282;2. Valor de Portafolio Estable
word;76;-33.333333333333336;35.71428571428572;0.050093214004668825;3. Activos de Alto Beta / Volatilidad Extrema
